ID,STATION_NAME,,
176,Swanbank E Gas Turbine,Swanbank B Power Station & Swanbank E Gas Turbine,
363,Tahmoor Waste Coal Mine Gas Power Station,Tahmoor Waste Coal Mine Gas Power Station,
419,"Tailem Bend Solar Project 1, Units 1-54",,
177,Tallawarra Power Station,Tallawarra Power Station,
178,Tamar Valley Combined Cycle Power Station,Tamar Valley Combined Cycle Power Station,
179,Tamar Valley Peaking  Power Station,,
243,Taralga Wind Farm,Taralga Wind Farm,
180,Taralgon Network Support Station,Traralgon Network Support Station,
181,Tarong North Power Station,Tarong North Power Station,
182,Tarong Power Station,TARONG POWER STATION,
183,Tarraleah Power Station,Tarraleah Power Station,
254,Tas Reserve Trader,RESERVE TRADER TAS1,
364,Tataria Bordertown Plant,Tataria Bordertown Plant,
184,Tatiara Bordertown Plant,Tataria Bordertown Plant,
185,Tatura Biomass Generator,Tatura Biomass Generator,
186,Tea Tree Gully Landfill Gas Power Station Unit 1,Tea Tree Gully Landfill Gas Power Station,
297,Temporary Generation North,Temporary Generation North,
298,Temporary Generation South,Temporary Generation South,
187,Teralba Power Station,TERALBA POWER STATION,
188,Terminal Storage Mini Hydro Power Station,Terminal Storage Mini Hydro Power Station,
189,The Bluff Wind Farm,The Bluff Wind Farm,
190,The Drop Hydro Unit 1,The Drop Power Station,
366,The Drop Power Station,The Drop Power Station,
408,Timboon West Wind Farm,,
191,Toora Wind Farm,TOORA WIND FARM,
367,Torrens Island Power Station,TORRENS ISLAND POWER STATION,
192,"Torrens Island Power Station ""A""",TORRENS ISLAND POWER STATION,
193,"Torrens Island Power Station ""B""",TORRENS ISLAND POWER STATION,
194,Tower Power Plant,Tower Power Plant,
195,Townsville Gas Turbine,Townsville Gas Turbine,
368,Traralgon Network Support Station,Traralgon Network Support Station,
196,Trevallyn Power Station,Trevallyn Power Station,
197,Tribute Power Station,Tribute Power Station,
198,Tumut 1 Power Station,TUMUT1,
199,Tumut 2 Power Station,TUMUT2,
200,Tumut 3 Power Station,TUMUT3,
308,Tumut 3 Pumps,Tumut 3 Pumps,
369,Tumut Power Station,Tumut Power Station,
264,Tumut3 Ancillary Services (pumps),,
201,Tungatinah Power Station,Tungatinah Power Station,
262,Unknown,,
202,Uranquinty Power Station,Uranquinty Power Station,
399,Valdora Solar Farm,,
203,"Vales Point ""B"" Power Station","Vales Point ""B"" Power Station",
204,Valley Power Peaking Facility,Valley Power Peaking Facility,
205,Veolia Ti Tree Bio Reactor,Veolia Ti Tree Bio Reactor,
244,Vic Reserve Trader,RESERVE TRADER VIC1,
206,Victoria Mill,Victoria Mill,
207,"Wallerawang ""C"" Power Station",Wallerawang Power Station,
251,Wallerawang Power Station,Wallerawang Power Station,
208,Waterloo Wind Farm,Waterloo Wind Farm,
