registered_business_name
LMS GENERATION PTY LTD
LOY YANG POWER MANAGEMENT P/L
LOY YANG POWER MANAGEMENT PTY LTD
LUMO GENERATION SA PTY LTD
MACQUARIE GENERATION
MCARTHUR RIVER POWER P/L
MCARTHUR RIVER POWER PTY LTD
MECRUS P/L
MECRUS PTY LTD
MERREDIN ENERGY PTY LTD
MILLMERRAN OPERATING CO P/L
MILLMERRAN OPERATING CO PTY LTD
MURRAY GOULBURN CO-OPERATIVE CO LIMITED
NATIONAL POWER AUST INVESTMENTS LTD
NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED
NEWGEN BRAEMAR 2 PTY LTD
NOVAPOWER PTY LTD
NRG FLINDERS
NRG FLINDERS OPERATING SERVICES P/L
NRG GLADSTONE OPERATING SERVICES P/L
NRG GLADSTONE OPERATING SERVICES PTY LTD
NT POWER AND WATER AUTHORITY
NT POWER GENERATION
NT POWER GENERATION PTY LTD
NWQ POWER P/L
NWQ POWER PTY LTD
OAKEY POWER HOLDINGS P/L
OAKEY POWER HOLDINGS PTY LTD
OCTAGON P/L
ONESTEEL MANUFACTURING P/L
ONSLOW ELECTRIC POWER PTY LTD
ORIGIN ENERGY AUST HOLDING & MT STUART BV
ORIGIN ENERGY AUST HOLDING &MT STUART BV
ORIGIN ENERGY AUSTRALIA HOLDING B.V. & ORIGIN ENERGY MT STUART B.V. PARTNERSHIP
ORIGIN ENERGY ERARING PTY LIMITED
ORIGIN ENERGY POWER LIMITED
ORIGIN ENERGY POWER LTD
ORIGIN ENERGY RETAIL LTD
ORIGIN ENERGY URANQUINTY POWER PTY LTD
OSBORNE COGENERATION P/L
OSBORNE COGENERATION PTY LTD
PACIFIC WESTERN
PACIFIC WESTERN P/L
PACIFIC WESTERN PTY LIMITED
PACIFIC WESTERN PTY LTD
PELICAN POINT POWER LIMITED
PELICAN POINT POWER LTD
PERTH POWER PARTNERSHIP
PILBARA IRON PTY LTD
PINE CREEK POWER P/L
PINE CREEK POWER PTY LTD
POWER & WATER CORP
POWER AND WATER AUTHORITY
POWER AND WATER CORPORATION
QGC PTY LIMITED
QGC SALES QLD PTY LTD
QUEENSLAND HEALTH
QUEENSLAND POWER TRADING CORPORATION
QUEENSLAND POWER TRADING CORPORATION (TRADING AS ENERTRADE)
RATCH AUSTRALIA COLLINSVILLE PTY LTD
RATCH-AUSTRALIA KEMERTON PTY LTD
RATCH-AUSTRALIA TOWNSVILLE PTY LIMITED
RCR TOMLINSON LTD
REDBANK PROJECT PTY LIMITED
REGIONAL POWER CORPORATION
ROCKY POINT POWER PROJECT PTY LTD
SANTOS LIMITED
SEPT PTY LTD
SIEMENS LTD
SMITHFIELD INVESTORS NO 1 PTY LTD
SNOWY HYDRO LIMITED
SNOWY HYDRO LTD
SOUTHERN CROSS ENERGY
SPI (SOUTH AUSTRALIA) PTY LTD
STANWELL CORP LTD
STANWELL CORPORATION LIMITED
STATEWEST POWER PTY LTD
SUMMIT KWINANA POWER PTY LTD & ERM KWINANA POWER PTY LTD
SYNERGEN POWER
SYNERGEN POWER PTY LIMITED
SYNERGEN POWER PTY LTD
TARONG ENERGY CORP LTD
TARONG ENERGY CORPORATION LIMITED
TARONG NORTH P/L
TARONG NORTH PTY LTD
TEC DESERT P/L
TEC DESERT PTY LTD
TEC HEDLAND PTY LTD
TEC OPERATIONS P/L
TEC OPERATIONS PTY LTD
TEC OPERATIONS [SOUTHERN CROSS ENERGY]
TEC PIPE PTY LTD
TERRITORY GENERATION
TESLA CORPORATION MANAGEMENT PTY LTD
TESLA GERALDTON PTY LTD
TESLA KEMERTON PTY LTD
TESLA NORTHAM PTY LTD
TIWEST PTY LTD
TOWER ENERGY PTY LTD
TRANSFIELD BRW SERVICES PTY LIMITED
TRANSFIELD SERVICES (AUSTRALIA) PTY LIMITED
TRANSFIELD SERVICES (HOLDINGS) P/L
TRANSFIELD SERVICES (HOLDINGS) PTY LTD
TRANSFIELD SERVICES KEMERTON PTY LIMITED
TRANSFIELD TOWNSVILLE PTY LTD
TRANSFIELD WORLEY POWER SERVICES P/L
TRANSFIELD WORLEY POWER SERVICES PTY LIMITED
TRONOX MANAGEMENT PTY LTD
TRU ENERGY SA GENERATION P/L
TRUENERGY HALLETT PTY LTD
TRUENERGY TALLAWARRA PTY LTD
TRUENERGY YALLOURN PTY LTD
TW POWER SERVICES PTY LTD
TXU TORRENS ISLAND P/L
TXU TORRENS ISLAND PTY LTD
VALLEY POWER P/L
VALLEY POWER PTY LTD
VH OPERATIONS P/L
WA ELECTRICITY GENERATION CORP
WA ELECTRICITY GENERATION CORPORATION
WESTERN ENERGY PTY LTD
WESTERN POWER CORP
WESTERN POWER CORPORATION
WESTERN POWER CORPORATIONORATION
WHYTES GULLY ENVIRONMENTAL PTY LTD
YALLOURN ENERGY P/L
