STATION_ALIAS,STATIONNAME,STATIONID
Murray Power Station,Murray Power Station,MURRAY
Musselroe Wind Farm,Musselroe Wind Farm,MUSSELRO
NSW Reserve Trader,RESERVE TRADER NSW1,RT_NSW1
Newport Power Station,NEWPORT POWER STATION,NEWPORT
Nine Network Willoughby Plant,Nine Network Willoughby Plant,NINEWIL
North Brown Hill Wind Farm,North Brown Hill Wind Farm,NBHWF
Northern Gas Turbine Station,NORTHERN GAS TURBINE,NORTHGT
Northern Power Station,NORTHERN POWER STATION,NORTHP
Nyngan Solar Plant,Nyngan Solar Plant,NYNGAN
Oakey 1 Solar Farm,OAKEY POWER STATION,OAKEY
Oakey Power Station,OAKEY POWER STATION,OAKEY
Oaklands Hill Wind Farm,Oaklands Hill Wind Farm,OAKLAND
Oaky Creek  Power Station,Oaky Creek Power Station,OCPS
Oaky Creek 2,Oaky Creek 2,OAKY2
Oaky Creek 2 Waste Coal Mine Gas Power Station Units 1-15,Oaky Creek 2,OAKY2
Oaky Creek Power Station,Oaky Creek Power Station,OCPS
Osborne Power Station,OSBORNE POWER STATION,OSBORNE
Paloona Power Station,Paloona Power Station,PALOONA
Parkes Solar Farm,Parkes Solar Farm,PSF
Pedler Creek Landfill Gas Power Station Units 1-3,Pedler Creek Landfill Gas Power Station Units 1-3,PEDLER
Pelican Point Power Station,Pelican Point Power Station,NPPPPS
Pindari Hydro Power Station,Pindari Hydro Power Station,PINDARI
Pioneer Sugar Mill,Pioneer Sugar Mill,PIONEER
Playford B Power Station,Playford B Power Station,PLAYF
Poatina Power Station,Poatina Power Station,PTINA220
Point Henry,POINT HENRY SMELTER,PTH
Port Latta Diesel Generation,Port Latta Diesel Generator,PORTLATT
Port Lincoln Gas Turbine,Port Lincoln Gas Turbine,PORTLCN
Port Stanvac Power Station 1,Pt Stanvac Power Station,STANVAC
Port Stanvac Power Station 2,Pt Stanvac Power Station,STANVAC
Portland,PORTLAND,PORTLAND
Portland Wind Farm,Portland Wind Farm,PORTWF
Portland aluminium smelter,PORTLAND,PORTLAND
Pt Stanvac Power Station,Pt Stanvac Power Station,STANVAC
QLD Reserve Trader,RESERVE TRADER QLD1,RT_QLD1
Quarantine Power Station,Quarantine Power Station,QUARANTN
Que River Diesel Generator,Que River Diesel,QUERIVER
Racecourse Mill,RACECOURSE MILL,RCOURSE
Racecourse Mill Power Station,Racecourse Mill Power Station,RACOMIL
Redbank Power Station,Redbank Power Station,REDBANK1
Reece Power Station,Reece Power Station,REECE
Remount Power Station,Remount Power Station,REMOUNT
Repulse Power Station,Repulse Power Station,REPULSE
Rochedale Renewable Energy Facility,Rochedale Renewable Energy Facility,ROCHEDAL
Rocky Point Cogeneration Plant,Rocky Point Cogeneration Plant,RPCG
Roghan Road LFG Power Plant,Roghan Road LFG Power Plant,EDLRGNRD
Roma Gas Turbine Station,Roma Gas Turbine Station,ROMA
Rowallan Power Station,Rowallan Power Station,ROWALLAN
Royalla Solar Farm,Royalla Solar Farm,ROYALLA
Rubicon Mountain Streams Station,Rubicon Mountain Streams Station,RUBICON
SA Reserve Trader,RESERVE TRADER SA1,RT_SA1
SA Water Bolivar Waste Water Treatment (WWT) Plant,SA Water Bolivar Waste Water Treatment (WWT) Plant,BOLIVAR
Sapphire Wind Farm,Sapphire Wind Farm,SAPHWF1
Scsf,SCSF,VALDORA
Shepparton Wastewater Treatment Facility,Shepparton Wastewater Treatment Facility,SHEP1
Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),SHOALHAV
Smithfield Energy Facility,SMITHFIELD ENERGY FACILITY,SITHE
Snowtown South Wind Farm,Snowtown South Wind Farm,SNOWSTH
Snowtown Wind Farm Stage 2 North,Snowtown Wind Farm Stage 2 North,SNOWNTH
Snowtown Wind Farm Units 1 And 47,Snowtown Wind Farm Units 1 And 47,SNOWTOWN
Snowtown Wind Farm Units 1 to 47,Snowtown Wind Farm Units 1 And 47,SNOWTOWN
Snowy (legacy),SNOWY,SNOWYP
Snuggery Power Station,SNUGGERY POWER STATION,SNUG
Somerton Power Station,Somerton Power Station,AGLSOM
South East Water - Hallam Hydro Plant,South East Water - Halllam Hydro Plant,HLMSEW01
South East Water - Halllam Hydro Plant,South East Water - Halllam Hydro Plant,HLMSEW01
Southbank Institute Of Technology Unit 1 Plant,Southbank Institute Of Technology Unit 1 Plant,STHBKTEC
Springvale Landfill Gas Power Station,Springvale Landfill Gas Power Station,SVALE
St George Leagues Club Plant,St George Leagues Plant,STGEORGE
Stanwell Power Station,STANWELL POWER STATION,STANWELL
Stapylton Renewable Energy Facility,Stapylton Renewable Energy Facility,STAPYLTON
Starfish Hill Wind Farm,Starfish Hill Wind Farm,STARFHILL
Suncoast Gold Macadamias,Suncoast Gold Macadamias,SUNCOAST
Swanbank A Power Station,Swanbank B Power Station & Swanbank E Gas Turbine,SWANBANK
Swanbank B Power Station,Swanbank B Power Station & Swanbank E Gas Turbine,SWANBANK
Swanbank B Power Station & Swanbank E Gas Turbine,Swanbank B Power Station & Swanbank E Gas Turbine,SWANBANK
Swanbank C,Swanbank B Power Station & Swanbank E Gas Turbine,SWANBANK
Swanbank D,Swanbank B Power Station & Swanbank E Gas Turbine,SWANBANK
